TimeStamp;Давление топливного газа перед дозаторами (поз. Pтг1.1);0 - Bad, 1 - Good
12:12:40.679;2861.292;1
12:12:40.702;2861.292;1
12:12:40.725;2861.663;1
12:12:40.749;2859.562;1
12:12:40.772;2860.551;1
12:12:40.797;2860.551;1
12:12:40.817;2861.416;1
12:12:40.840;2861.416;1
12:12:40.864;2859.315;1
12:12:40.888;2859.562;1
12:12:40.908;2861.539;1
12:12:40.932;2859.315;1
12:12:40.956;2859.809;1
12:12:40.977;2859.809;1
12:12:41.001;2859.809;1
12:12:41.023;2861.539;1
12:12:41.049;2860.303;1
12:12:41.071;2859.686;1
12:12:41.093;2861.91;1
12:12:41.115;2861.91;1
12:12:41.139;2861.91;1
12:12:41.163;2859.933;1
12:12:41.186;2859.315;1
12:12:41.209;2861.292;1
12:12:41.233;2859.933;1
12:12:41.255;2859.933;1
12:12:41.276;2858.697;1
12:12:41.301;2858.697;1
12:12:41.324;2859.809;1
12:12:41.347;2860.551;1
12:12:41.369;2858.697;1
12:12:41.391;2858.697;1
12:12:41.415;2861.169;1
12:12:41.437;2861.539;1
12:12:41.461;2861.539;1
12:12:41.486;2858.449;1
12:12:41.508;2860.056;1
12:12:41.532;2860.056;1
12:12:41.553;2861.169;1
12:12:41.576;2861.169;1
12:12:41.597;2859.315;1
12:12:41.620;2860.303;1
12:12:41.643;2861.539;1
12:12:41.666;2861.539;1
12:12:41.689;2859.438;1
12:12:41.712;2860.303;1
12:12:41.735;2861.787;1
12:12:41.758;2859.933;1
12:12:41.781;2859.933;1
12:12:41.807;2859.809;1
12:12:41.829;2859.809;1
12:12:41.851;2861.292;1
12:12:41.873;2859.438;1
12:12:41.896;2859.438;1
12:12:41.920;2859.438;1
12:12:41.943;2860.921;1
12:12:41.966;2860.921;1
12:12:41.991;2860.056;1
12:12:42.011;2859.438;1
12:12:42.037;2860.921;1
12:12:42.057;2860.921;1
12:12:42.082;2860.921;1
12:12:42.103;2860.921;1
12:12:42.126;2858.326;1
12:12:42.149;2861.045;1
12:12:42.173;2861.169;1
12:12:42.196;2858.697;1
12:12:42.218;2858.697;1
12:12:42.241;2860.056;1
12:12:42.264;2860.056;1
12:12:42.288;2860.056;1
12:12:42.310;2861.416;1
12:12:42.334;2859.315;1
12:12:42.356;2860.798;1
12:12:42.380;2861.787;1
12:12:42.402;2861.787;1
12:12:42.425;2859.315;1
12:12:42.448;2860.18;1
12:12:42.474;2861.169;1
12:12:42.494;2861.169;1
12:12:42.517;2859.191;1
12:12:42.540;2859.933;1
12:12:42.563;2859.933;1
12:12:42.587;2859.933;1
12:12:42.610;2860.921;1
12:12:42.634;2860.056;1
12:12:42.655;2860.056;1
12:12:42.680;2858.697;1
12:12:42.701;2859.686;1
12:12:42.724;2859.686;1
12:12:42.747;2858.449;1
12:12:42.770;2860.674;1
12:12:42.793;2860.674;1
12:12:42.816;2860.674;1
12:12:42.839;2860.551;1
12:12:42.862;2858.944;1
12:12:42.886;2858.944;1
12:12:42.909;2861.045;1
12:12:42.933;2860.798;1
12:12:42.954;2860.798;1
12:12:42.977;2858.697;1
12:12:43.000;2860.674;1
12:12:43.023;2860.674;1
12:12:43.046;2858.202;1
12:12:43.069;2858.202;1
12:12:43.093;2860.056;1
12:12:43.115;2860.798;1
