TimeStamp;Температура масла на входе в двигатель за фильтром (поз. Т607);0 - Bad, 1 - Good
12:13:05.288;23.177;1
12:13:05.313;23.177;1
12:13:05.334;23.177;1
12:13:05.356;23.177;1
12:13:05.382;23.177;1
12:13:05.405;23.177;1
12:13:05.427;23.177;1
12:13:05.448;23.177;1
12:13:05.473;23.177;1
12:13:05.495;23.177;1
12:13:05.519;23.293;1
12:13:05.543;23.293;1
12:13:05.566;23.293;1
12:13:05.588;23.293;1
12:13:05.610;23.293;1
12:13:05.632;23.293;1
12:13:05.657;23.293;1
12:13:05.681;23.293;1
12:13:05.701;23.293;1
12:13:05.725;23.293;1
12:13:05.749;23.293;1
12:13:05.771;23.293;1
12:13:05.793;23.293;1
12:13:05.818;23.293;1
12:13:05.841;23.223;1
12:13:05.863;23.223;1
12:13:05.887;23.223;1
12:13:05.908;23.223;1
12:13:05.931;23.223;1
12:13:05.955;23.223;1
12:13:05.979;23.223;1
12:13:06.001;23.223;1
12:13:06.025;23.223;1
12:13:06.047;23.223;1
12:13:06.072;23.223;1
12:13:06.092;23.223;1
12:13:06.117;23.223;1
12:13:06.140;23.27;1
12:13:06.162;23.27;1
12:13:06.186;23.27;1
12:13:06.210;23.27;1
12:13:06.230;23.27;1
12:13:06.254;23.27;1
12:13:06.278;23.27;1
12:13:06.302;23.27;1
12:13:06.322;23.27;1
12:13:06.348;23.27;1
12:13:06.369;23.27;1
12:13:06.392;23.27;1
12:13:06.415;23.27;1
12:13:06.439;23.27;1
12:13:06.462;23.293;1
12:13:06.486;23.293;1
12:13:06.507;23.293;1
12:13:06.531;23.293;1
12:13:06.553;23.293;1
12:13:06.577;23.293;1
12:13:06.598;23.293;1
12:13:06.622;23.293;1
12:13:06.646;23.293;1
12:13:06.670;23.293;1
12:13:06.692;23.293;1
12:13:06.713;23.293;1
12:13:06.738;23.293;1
12:13:06.761;23.293;1
12:13:06.786;23.34;1
12:13:06.807;23.34;1
12:13:06.828;23.34;1
12:13:06.853;23.34;1
12:13:06.876;23.34;1
12:13:06.899;23.34;1
12:13:06.923;23.34;1
12:13:06.946;23.34;1
12:13:06.967;23.34;1
12:13:06.990;23.34;1
12:13:07.016;23.34;1
12:13:07.037;23.34;1
12:13:07.061;23.34;1
12:13:07.084;23.34;1
12:13:07.106;23.386;1
12:13:07.130;23.386;1
12:13:07.152;23.386;1
12:13:07.175;23.386;1
12:13:07.197;23.386;1
12:13:07.222;23.386;1
12:13:07.245;23.386;1
12:13:07.267;23.386;1
12:13:07.289;23.386;1
12:13:07.312;23.386;1
12:13:07.335;23.386;1
12:13:07.358;23.386;1
12:13:07.382;23.386;1
12:13:07.406;23.247;1
12:13:07.428;23.247;1
12:13:07.450;23.247;1
12:13:07.475;23.247;1
12:13:07.497;23.247;1
12:13:07.520;23.247;1
12:13:07.543;23.247;1
12:13:07.565;23.247;1
12:13:07.591;23.247;1
12:13:07.611;23.247;1
12:13:07.638;23.247;1
12:13:07.658;23.247;1
12:13:07.683;23.247;1
12:13:07.706;23.247;1
12:13:07.726;23.27;1
12:13:07.752;23.27;1
12:13:07.774;23.27;1
12:13:07.795;23.27;1
12:13:07.818;23.27;1
12:13:07.841;23.27;1
12:13:07.867;23.27;1
12:13:07.887;23.27;1
12:13:07.909;23.27;1
12:13:07.932;23.27;1
12:13:07.955;23.27;1
12:13:07.980;23.27;1
12:13:08.001;23.27;1
12:13:08.027;23.27;1
12:13:08.049;23.27;1
12:13:08.071;23.27;1
12:13:08.095;23.27;1
12:13:08.116;23.27;1
12:13:08.141;23.27;1
12:13:08.164;23.27;1
12:13:08.185;23.27;1
12:13:08.208;23.27;1
12:13:08.231;23.27;1
12:13:08.254;23.27;1
12:13:08.277;23.27;1
12:13:08.300;23.27;1
12:13:08.323;23.27;1
12:13:08.346;23.27;1
12:13:08.369;23.247;1
12:13:08.392;23.247;1
12:13:08.417;23.247;1
12:13:08.438;23.247;1
12:13:08.461;23.247;1
12:13:08.486;23.247;1
12:13:08.508;23.247;1
12:13:08.533;23.247;1
12:13:08.554;23.247;1
12:13:08.576;23.247;1
12:13:08.600;23.247;1
